Name,Type,Breed,Color,Sex,Size,Date Of Birth,,Impound Number,Kennel Number,Animal ID,Intake Date,Outcome Date,Days in Shelter,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Intake Condition,Outcome Condition,Intake Jurisdiction,Outcome Jurisdiction,Outcome Zip Code,Location,Count
*PANTHER,CAT,DOMESTIC SH,BLACK,Neutered,SMALL,04/27/2014,1683,K16-018454,CS04,A335507,04/13/2016,04/30/2016,17,STRAY,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,SANTA ROSA,*ROHNERT PARK,94928,"94928(38.346718, -122.695947)",1
*JASMINE,CAT,DOMESTIC SH,BLACK,Spayed,KITTN,04/27/2014,1683,K15-012612,LOBBY,A316284,01/29/2015,03/07/2015,37,CONFISCATE,FLD_CORONR,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95403,"95403(38.486997, -122.749134)",1
*SONNY,CAT,DOMESTIC SH,GRAY,Neutered,KITTN,04/28/2014,1682,K14-010490,CA02,A310705,08/26/2014,09/13/2014,18,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1
*CHER,CAT,DOMESTIC SH,GRAY,Spayed,KITTN,04/28/2014,1682,K14-010489,CA02,A310704,08/26/2014,09/13/2014,18,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1
*CALLIOPE,CAT,DOMESTIC MH,CALICO,Spayed,KITTN,04/30/2014,1680,K14-009267,LOBBY,A307895,06/11/2014,06/27/2014,16,STRAY,OVER THE COUNTER,ADOPTION,REFERRAL,UNKNOWN,HEALTHY,SANTA ROSA,*HEALDSBURG,95448,"95448(38.618857, -122.861927)",1
PHOEBE,CAT,DOMESTIC SH,CALICO/WHITE,Spayed,KITTN,04/30/2014,1680,K14-009056,LOBBY,A307404,05/30/2014,07/08/2014,39,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,COUNTY,COUNTY,95403,"95403(38.486997, -122.749134)",1
ROCKY,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,SMALL,04/30/2014,1680,K14-009058,LOBBY,A307406,05/30/2014,07/05/2014,36,STRAY,OVER THE COUNTER,ADOPTION,INTERNET,TREATABLE/REHAB,HEALTHY,COUNTY,SANTA ROSA,95409,"95409(38.458965, -122.630156)",1
ROCKY,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,SMALL,04/30/2014,1680,K16-017932,CS04,A307406,02/27/2016,04/08/2016,41,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95472,"95472(38.394388, -122.850998)",1
LOKI,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,04/30/2014,1680,K14-009057,LOBBY,A307405,05/30/2014,07/08/2014,39,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,COUNTY,COUNTY,95403,"95403(38.486997, -122.749134)",1
TOMMY,CAT,DOMESTIC SH,GRAY/WHITE,Neutered,KITTN,04/30/2014,1680,K14-009055,LOBBY,A307403,05/30/2014,07/05/2014,36,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
*TOFU,CAT,SIAMESE/MIX,FLAME PT,Neutered,KITTN,04/30/2014,1680,K14-009268,LOBBY,A307896,06/11/2014,06/28/2014,17,STRAY,OVER THE COUNTER,ADOPTION,REFERRAL,UNKNOWN,HEALTHY,SANTA ROSA,WINDSOR,95492,"95492(38.541541, -122.809202)",1
*CASSIE,CAT,DOMESTIC SH,CALICO,Spayed,SMALL,05/01/2014,1679,K15-015321,WESTFARM,A325005,08/08/2015,10/03/2015,56,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,SANTA ROSA,WINDSOR,95492,"95492(38.541541, -122.809202)",1
*DANTE,CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,KITTN,05/01/2014,1679,K14-009568,MAC,A308628,07/01/2014,07/12/2014,11,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,*CLOVERDALE,95425,"95425(38.790859, -123.010876)",1
*ALEX,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,05/01/2014,1679,K14-009572,MAC,A308632,07/01/2014,07/12/2014,11,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,WINDSOR,95492,"95492(38.541541, -122.809202)",1
*GRACIE,CAT,DOMESTIC SH,BRN TABBY/TORTIE,Spayed,KITTN,05/01/2014,1679,K14-009571,MAC,A308631,07/01/2014,07/12/2014,11,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SPEC EVENT,HEALTHY,HEALTHY,COUNTY,COUNTY,95419,"95419(38.424885, -122.958249)",1
*CANDY,CAT,DOMESTIC SH,CALICO/WHITE,Spayed,KITTN,05/01/2014,1679,K14-009570,49ERPET,A308630,07/01/2014,08/25/2014,55,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,49ER PET,HEALTHY,HEALTHY,COUNTY,*ROHNERT PARK,94928,"94928(38.346718, -122.695947)",1
*CINDY,CAT,DOMESTIC SH,BLACK,Spayed,KITTN,05/01/2014,1679,K14-009566,49ERPET,A308626,07/01/2014,08/25/2014,55,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,49ER PET,HEALTHY,HEALTHY,COUNTY,*ROHNERT PARK,94928,"94928(38.346718, -122.695947)",1
TANUKI,CAT,DOMESTIC SH,GRAY,Neutered,SMALL,05/01/2014,1679,K15-014454,CS04,A317832,06/16/2015,07/15/2015,29,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1
*EZEKIEL,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,05/01/2014,1679,K14-009569,LOBBY,A308629,07/01/2014,07/24/2014,23,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95442,"95442(38.371317, -122.520506)",1
*CHRIS,CAT,DOMESTIC MH,BUFF,Neutered,KITTN,05/01/2014,1679,K14-009565,49ERPET,A308625,07/01/2014,08/24/2014,54,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,49ER PET,TREATABLE/REHAB,HEALTHY,COUNTY,*ROHNERT PARK,94928,"94928(38.346718, -122.695947)",1
HANK,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,05/01/2014,1679,K14-010112,LOBBY,A309739,08/05/2014,09/04/2014,30,TRANSFER,VET_HOSP,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,SANTA ROSA,SANTA ROSA,95409,"95409(38.458965, -122.630156)",1
ELSA,CAT,DOMESTIC SH,CALICO/BRN TABBY,Spayed,KITTN,05/02/2014,1678,K14-011080,CA02,A312396,10/02/2014,10/03/2014,1,TRANSFER,MUN_SHELT,ADOPTION,INTERNET,HEALTHY,HEALTHY,OUT OF COUNTY,WINDSOR,95492,"95492(38.541541, -122.809202)",1
MADISON,CAT,DOMESTIC SH,GRAY TABBY/WHITE,Spayed,KITTN,05/02/2014,1678,K14-011078,LOBBY,A312394,10/02/2014,11/05/2014,34,TRANSFER,MUN_SHELT,ADOPTION,INTERNET,HEALTHY,HEALTHY,OUT OF COUNTY,WINDSOR,95492,"95492(38.541541, -122.809202)",1
ANNA,CAT,DOMESTIC SH,BLUE CREAM/CALICO,Spayed,KITTN,05/02/2014,1678,K14-011079,DEBBIES,A312395,10/02/2014,10/09/2014,7,TRANSFER,MUN_SHELT,ADOPTION,DEBBIE BTQ,HEALTHY,HEALTHY,OUT OF COUNTY,*HEALDSBURG,95448,"95448(38.618857, -122.861927)",1
*SEVERUS,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,05/02/2014,1678,K14-011092,CA02,A312410,10/02/2014,10/09/2014,7,TRANSFER,MUN_SHELT,ADOPTION,WALKIN,HEALTHY,HEALTHY,OUT OF COUNTY,*PETALUMA,94952,"94952(38.236012, -122.730241)",1
*JENNY,CAT,DOMESTIC SH,GRAY TABBY/WHITE,Spayed,KITTN,05/02/2014,1678,K14-011077,DEBBIES,A312393,10/02/2014,10/22/2014,20,TRANSFER,MUN_SHELT,ADOPTION,DEBBIE BTQ,HEALTHY,HEALTHY,OUT OF COUNTY,WINDSOR,95492,"95492(38.541541, -122.809202)",1
*RUSSEL,CAT,DOMESTIC MH,BLACK/WHITE,Neutered,KITTN,05/04/2014,1676,K14-009599,WESTFARM,A308665,07/01/2014,07/10/2014,9,STRAY,FIELD,ADOPTION,WESTFARM,HEALTHY,HEALTHY,COUNTY,COUNTY,95403,"95403(38.486997, -122.749134)",1
*RINGO,CAT,DOMESTIC SH,BLACK,Neutered,SMALL,05/08/2014,1672,K14-011656,LOBBY,A313591,11/08/2014,01/23/2015,76,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,SANTA ROSA,*HEALDSBURG,95448,"95448(38.618857, -122.861927)",1
*WILSON,CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,05/08/2014,1672,K14-009378,MAC,A308114,06/19/2014,07/26/2014,37,STRAY,OVER THE COUNTER,ADOPTION,SPEC EVENT,HEALTHY,HEALTHY,COUNTY,COUNTY,95472,"95472(38.394388, -122.850998)",1
*FRANCES,CAT,DOMESTIC SH,GRAY/WHITE,Spayed,KITTN,05/09/2014,1671,K14-009716,DEBBIES,A308885,07/09/2014,07/25/2014,16,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,DEBBIE BTQ,HEALTHY,HEALTHY,COUNTY,WINDSOR,95492,"95492(38.541541, -122.809202)",1
*CASEY,CAT,DOMESTIC SH,GRAY/WHITE,Neutered,KITTN,05/09/2014,1671,K14-009717,LOBBY,A308886,07/09/2014,08/16/2014,38,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,COUNTY,WINDSOR,95492,"95492(38.541541, -122.809202)",1
*BOSCOE,CAT,DOMESTIC SH,GRAY TABBY/WHITE,Neutered,KITTN,05/09/2014,1671,K14-009718,DEBBIES,A308887,07/09/2014,07/29/2014,20,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,DEBBIE BTQ,HEALTHY,HEALTHY,COUNTY,WINDSOR,95492,"95492(38.541541, -122.809202)",1
SMOKEY,CAT,DOMESTIC SH,GRAY,Neutered,KITTN,05/10/2014,1670,K14-010197,WESTFARM,A309994,08/09/2014,08/24/2014,15,STRAY,COMM CAT,ADOPTION,WESTFARM,HEALTHY,HEALTHY,SANTA ROSA,WINDSOR,95492,"95492(38.541541, -122.809202)",1
*TORTILLA,CAT,DOMESTIC LH,BRN TABBY,Neutered,KITTN,05/10/2014,1670,K14-009221,LOBBY,A307825,06/10/2014,07/15/2014,35,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,COUNTY,*PETALUMA,94952,"94952(38.236012, -122.730241)",1
RASCAL,CAT,DOMESTIC SH,GRAY,Neutered,KITTN,05/10/2014,1670,K14-010196,LOBBY,A309993,08/09/2014,08/22/2014,13,STRAY,COMM CAT,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95403,"95403(38.486997, -122.749134)",1
KITTY BOOBOO,CAT,DOMESTIC SH,GRAY,Spayed,KITTN,05/10/2014,1670,K14-010195,CA02,A309992,08/09/2014,08/14/2014,5,STRAY,COMM CAT,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*ROHNERT PARK,94928,"94928(38.346718, -122.695947)",1
*O'TOOLE,CAT,DOMESTIC SH,ORANGE/WHITE,Neutered,KITTN,05/11/2014,1669,K14-010151,WESTFARM,A309851,08/06/2014,08/22/2014,16,STRAY,FIELD,ADOPTION,WESTFARM,HEALTHY,HEALTHY,SANTA ROSA,*SEBASTOPOL,95472,"95472(38.394388, -122.850998)",1
*ALLIE,CAT,DOMESTIC MH,BRN TABBY/WHITE,Spayed,KITTN,05/12/2014,1668,K14-010185,CA02,A309979,08/09/2014,08/27/2014,18,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407,"95407(38.403734, -122.736775)",1
*JENNY,CAT,DOMESTIC MH,GRAY/WHITE,Spayed,KITTN,05/12/2014,1668,K14-010186,CA02,A309980,08/09/2014,08/15/2014,6,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95405,"95405(38.439152, -122.672541)",1
*ABBY,CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,05/12/2014,1668,K14-010184,CA02,A309978,08/09/2014,08/13/2014,4,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95403,"95403(38.486997, -122.749134)",1
MADISON,CAT,DOMESTIC MH,ORANGE,Neutered,SMALL,05/13/2014,1667,K14-011529,TX,A313193,10/29/2014,11/13/2014,15,STRAY,FIELD,ADOPTION,REFERRAL,TREATABLE/REHAB,HEALTHY,SANTA ROSA,SANTA ROSA,95407,"95407(38.403734, -122.736775)",1
*COW,CAT,DOMESTIC SH,BLACK,Neutered,KITTN,05/13/2014,1667,K14-009134,LOBBY,A307608,06/04/2014,08/02/2014,59,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
*JEMMA,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,KITTN,05/13/2014,1667,K14-009135,LOBBY,A307610,06/04/2014,08/05/2014,62,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*HEALDSBURG,95448,"95448(38.618857, -122.861927)",1
CIEGO,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,05/13/2014,1667,K14-009427,FOSTER,A308210,06/21/2014,09/25/2014,96,STRAY,OVER THE COUNTER,ADOPTION,REFERRAL,TREATABLE/MANAGEABLE,HEALTHY,COUNTY,OUT OF COUNTY,95129,"95129(37.305834, -122.001159)",1
*LUCY,CAT,DOMESTIC SH,SEAL PT,Spayed,KITTN,05/13/2014,1667,K14-009137,LOBBY,A307612,06/04/2014,08/05/2014,62,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*HEALDSBURG,95448,"95448(38.618857, -122.861927)",1
CASSIE,CAT,DOMESTIC SH,BRN TABBY/TORTIE,Spayed,KITTN,05/13/2014,1667,K14-009350,WESTFARM,A308065,06/17/2014,07/18/2014,31,STRAY,COMM CAT,ADOPTION,WESTFARM,TREATABLE/REHAB,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1
CODY,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,05/13/2014,1667,K14-009349,WESTFARM,A308064,06/17/2014,07/18/2014,31,STRAY,COMM CAT,ADOPTION,WESTFARM,TREATABLE/REHAB,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1
AURORA,CAT,DOMESTIC SH,CALICO/WHITE,Spayed,KITTN,05/13/2014,1667,K14-009347,LOBBY,A308062,06/17/2014,07/19/2014,32,STRAY,COMM CAT,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,SANTA ROSA,*ROHNERT PARK,94928,"94928(38.346718, -122.695947)",1
AUSTIN,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,05/13/2014,1667,K14-009348,WESTFARM,A308063,06/17/2014,07/19/2014,32,STRAY,COMM CAT,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,SANTA ROSA,*CLOVERDALE,95425,"95425(38.790859, -123.010876)",1
TUNDRA,CAT,DOMESTIC LH,GRAY TABBY,Spayed,KITTN,05/14/2014,1666,K14-009995,LOBBY,A309459,07/26/2014,08/19/2014,24,STRAY,COMM CAT,ADOPTION,INTERNET,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95407,"95407(38.403734, -122.736775)",1
*KELSIE,CAT,DOMESTIC SH,GRAY TABBY/WHITE,Spayed,KITTN,05/14/2014,1666,K14-009996,LOBBY,A309461,07/26/2014,08/19/2014,24,STRAY,COMM CAT,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,COUNTY,COUNTY,95401,"95401(38.446019, -122.766748)",1
*COOPER,CAT,DOMESTIC SH,BLACK,Neutered,KITTN,05/16/2014,1664,K14-011306,WESTFARM,A312803,10/16/2014,11/01/2014,16,STRAY,COMM CAT,ADOPTION,WESTFARM,HEALTHY,HEALTHY,COUNTY,COUNTY,95476,"95476(38.280393, -122.464588)",1
*ALICE,CAT,DOMESTIC SH,TORTIE,Spayed,KITTN,05/16/2014,1664,K14-011305,WESTFARM,A312802,10/16/2014,11/06/2014,21,STRAY,COMM CAT,ADOPTION,WESTFARM,HEALTHY,HEALTHY,COUNTY,*ROHNERT PARK,94928,"94928(38.346718, -122.695947)",1
CALI,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,SMALL,05/17/2014,1663,K16-018879,CS05,A337123,05/17/2016,06/29/2016,43,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,WINDSOR,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1
ASLAN,CAT,DOMESTIC SH,FLAME PT,Neutered,KITTN,05/17/2014,1663,K14-009587,LOBBY,A308657,07/01/2014,08/21/2014,51,STRAY,OVER THE COUNTER,ADOPTION,INTERNET,TREATABLE/REHAB,HEALTHY,SANTA ROSA,COUNTY,95403,"95403(38.486997, -122.749134)",1
*CASSIE,CAT,DOMESTIC SH,TORTIE,Spayed,KITTN,05/17/2014,1663,K14-009586,DEBBIES,A308655,07/01/2014,09/06/2014,67,STRAY,OVER THE COUNTER,ADOPTION,DEBBIE BTQ,TREATABLE/REHAB,HEALTHY,SANTA ROSA,WINDSOR,95492,"95492(38.541541, -122.809202)",1
BIG RED,CAT,DOMESTIC SH,ORG TABBY/WHITE,Neutered,SMALL,05/18/2014,1662,K16-018839,CS05,A337041,05/13/2016,06/03/2016,21,TRANSFER,MUN_SHELT,ADOPTION,WALKIN,TREATABLE/MANAGEABLE,HEALTHY,OUT OF COUNTY,WINDSOR,95492,"95492(38.541541, -122.809202)",1
*CHILLI,CAT,DOMESTIC SH,BUFF,Neutered,KITTN,05/19/2014,1661,K14-009220,CA02,A307820,06/10/2014,08/13/2014,64,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,COUNTY,WINDSOR,95492,"95492(38.541541, -122.809202)",1
*ANDRE,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,05/20/2014,1660,K15-012614,LOBBY,A316287,01/29/2015,02/21/2015,23,CONFISCATE,FLD_CORONR,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
*SAM,CAT,DOMESTIC SH,WHITE/BLACK,Neutered,KITTN,05/21/2014,1659,K14-009869,LOBBY,A309191,07/18/2014,08/09/2014,22,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,COUNTY,*ROHNERT PARK,94928,"94928(38.346718, -122.695947)",1
NALA,CAT,SIAMESE,SEAL PT,Spayed,SMALL,05/21/2014,1659,K14-011372,WESTFARM,A312939,10/21/2014,11/03/2014,13,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95405,"95405(38.439152, -122.672541)",1
*ENGELBERT H,CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,05/22/2014,1658,K14-010714,LOBBY,A311402,09/09/2014,10/23/2014,44,STRAY,COMM CAT,ADOPTION,INTERNET,HEALTHY,HEALTHY,COUNTY,COUNTY,95407,"95407(38.403734, -122.736775)",1
*CELESTE,CAT,DOMESTIC SH,BLACK,Spayed,KITTN,05/23/2014,1657,K14-010431,LOBBY,A310511,08/22/2014,09/02/2014,11,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1
*STACIA,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,KITTN,05/23/2014,1657,K14-010430,LOBBY,A310510,08/22/2014,08/30/2014,8,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,WINDSOR,95492,"95492(38.541541, -122.809202)",1
LEAH,CAT,DOMESTIC SH,GRAY TABBY,Spayed,SMALL,05/23/2014,1657,K16-021587,CA02,A345439,11/16/2016,12/02/2016,16,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95472,"95472(38.394388, -122.850998)",1
MYRON,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,05/23/2014,1657,K14-010429,LOBBY,A310508,08/22/2014,08/29/2014,7,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*PETALUMA,94952,"94952(38.236012, -122.730241)",1
*SHY SHY,CAT,DOMESTIC SH,BLUE CREAM/TORTIE,Spayed,KITTN,05/23/2014,1657,K14-011430,LOBBY,A313031,10/23/2014,03/25/2015,153,STRAY,COMM CAT,ADOPTION,WALKIN,TREATABLE/MANAGEABLE,HEALTHY,COUNTY,*SEBASTOPOL,95472,"95472(38.394388, -122.850998)",1
*KYLE,CAT,DOMESTIC SH,BLACK,Neutered,KITTN,05/24/2014,1656,K14-009953,CA02,A309339,07/24/2014,10/17/2014,85,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95407,"95407(38.403734, -122.736775)",1
*STAN,CAT,DOMESTIC SH,GRAY,Neutered,KITTN,05/24/2014,1656,K14-009950,LOBBY,A309336,07/24/2014,10/03/2014,71,STRAY,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,COUNTY,COUNTY,95436,"95436(38.491884, -122.90672)",1
*ERIC,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,05/24/2014,1656,K14-009954,CA02,A309340,07/24/2014,09/23/2014,61,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,TREATABLE/REHAB,COUNTY,*ROHNERT PARK,94928,"94928(38.346718, -122.695947)",1
TUCKER,CAT,DOMESTIC SH,BLACK,Neutered,KITTN,05/24/2014,1656,K14-009952,LOBBY,A309338,07/24/2014,10/17/2014,85,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95407,"95407(38.403734, -122.736775)",1
*RICKY,CAT,DOMESTIC SH,BLACK,Neutered,KITTN,05/24/2014,1656,K14-009958,LOBBY,A309351,07/24/2014,08/08/2014,15,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,*CLOVERDALE,95425,"95425(38.790859, -123.010876)",1
*WENDY,CAT,DOMESTIC SH,GRAY TABBY,Spayed,KITTN,05/24/2014,1656,K14-009955,CA02,A309341,07/24/2014,09/30/2014,68,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95446,"95446(38.510032, -122.996796)",1
*SHELIA,CAT,DOMESTIC SH,GRAY/WHITE,Spayed,KITTN,05/24/2014,1656,K14-009951,LOBBY,A309337,07/24/2014,10/04/2014,72,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,COUNTY,COUNTY,95403,"95403(38.486997, -122.749134)",1
*KREACHER,CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,KITTN,05/25/2014,1655,K14-009484,LOBBY,A308323,06/25/2014,08/06/2014,42,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*CLOVERDALE,95425,"95425(38.790859, -123.010876)",1
*RANDY,CAT,DOMESTIC SH,BLACK,Neutered,KITTN,05/26/2014,1654,K14-010754,49ERPET,A311499,09/11/2014,09/29/2014,18,STRAY,COMM CAT,ADOPTION,49ER PET,HEALTHY,HEALTHY,SANTA ROSA,*ROHNERT PARK,94928,"94928(38.346718, -122.695947)",1
ACE,CAT,DOMESTIC SH,BLACK,Neutered,KITTN,05/27/2014,1653,K14-010266,LOBBY,A310114,08/13/2014,12/12/2014,121,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95405,"95405(38.439152, -122.672541)",1
*ABBIE,CAT,DOMESTIC SH,WHITE/BLUE TABBY,Spayed,KITTN,05/27/2014,1653,K15-012756,LOBBY,A316712,02/11/2015,03/07/2015,24,CONFISCATE,FLD_CORONR,ADOPTION,WALKIN,TREATABLE/MANAGEABLE,HEALTHY,COUNTY,COUNTY,95446,"95446(38.510032, -122.996796)",1
*MOE,CAT,DOMESTIC SH,BLACK,Neutered,KITTN,05/27/2014,1653,K14-010268,LOBBY,A310117,08/13/2014,11/29/2014,108,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,WINDSOR,95492,"95492(38.541541, -122.809202)",1
*MONICA,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,SMALL,05/28/2014,1652,K15-014854,CS04,A322478,07/09/2015,08/08/2015,30,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*ROHNERT PARK,94948,"94948(38.109189, -122.578257)",1
CHOCOLATE CHIP,CAT,DOMESTIC LH,BLACK,Neutered,KITTN,05/28/2014,1652,K14-009781,LOBBY,A309040,07/12/2014,08/05/2014,24,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
*SPRINKLES,CAT,DOMESTIC SH,ORG TABBY,Spayed,KITTN,06/01/2014,1648,K14-010978,CA02,A312096,09/25/2014,10/02/2014,7,STRAY,COMM CAT,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95401,"95401(38.446019, -122.766748)",1
*PEANUT,CAT,DOMESTIC SH,GRAY TABBY/WHITE,Spayed,KITTN,06/01/2014,1648,K14-010000,CA02,A309465,07/26/2014,08/23/2014,28,STRAY,COMM CAT,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95401,"95401(38.446019, -122.766748)",1
*COLBY JACK,CAT,DOMESTIC SH,ORG TABBY,Spayed,KITTN,06/01/2014,1648,K14-010980,CA02,A312098,09/25/2014,10/02/2014,7,STRAY,COMM CAT,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95409,"95409(38.458965, -122.630156)",1
*CHEDDAR,CAT,DOMESTIC SH,ORG TABBY,Neutered,KITTN,06/01/2014,1648,K14-010979,CA02,A312097,09/25/2014,10/07/2014,12,STRAY,COMM CAT,ADOPTION,INTERNET,HEALTHY,HEALTHY,COUNTY,COUNTY,95442,"95442(38.371317, -122.520506)",1
